"subject" "tBodyAcc-mean()-X" "tBodyAcc-mean()-Y" "tBodyAcc-mean()-Z" "tBodyAcc-std()-X" "tBodyAcc-correlation()-X,Z" "tBodyAcc-correlation()-Y,Z" "tGravityAcc-mean()-X" "tGravityAcc-mean()-Y" "tGravityAcc-mean()-Z" "tGravityAcc-std()-X" "tGravityAcc-correlation()-X,Z" "tGravityAcc-correlation()-Y,Z" "tBodyAccJerk-mean()-X" "tBodyAccJerk-mean()-Y" "tBodyAccJerk-mean()-Z" "tBodyAccJerk-std()-X" "tBodyAccJerk-correlation()-X,Z" "tBodyAccJerk-correlation()-Y,Z" "tBodyGyro-mean()-X" "tBodyGyro-mean()-Y" "tBodyGyro-mean()-Z" "tBodyGyro-std()-X" "tBodyGyro-correlation()-X,Z" "tBodyGyro-correlation()-Y,Z" "tBodyGyroJerk-mean()-X" "tBodyGyroJerk-mean()-Y" "tBodyGyroJerk-mean()-Z" "tBodyGyroJerk-std()-X" "tBodyGyroJerk-correlation()-X,Z" "tBodyGyroJerk-correlation()-Y,Z" "tBodyAccMag-arCoeff()3" "tBodyAccMag-arCoeff()4" "tGravityAccMag-arCoeff()3" "tGravityAccMag-arCoeff()4" "tBodyAccJerkMag-arCoeff()3" "tBodyAccJerkMag-arCoeff()4" "tBodyGyroMag-arCoeff()3" "tBodyGyroMag-arCoeff()4" "tBodyGyroJerkMag-arCoeff()3" "tBodyGyroJerkMag-arCoeff()4" "fBodyAcc-mean()-X" "fBodyAcc-mean()-Y" "fBodyAcc-mean()-Z" "fBodyAcc-std()-X" "fBodyAcc-maxInds-Y" "fBodyAcc-maxInds-Z" "fBodyAcc-meanFreq()-X" "fBodyAcc-bandsEnergy()-1,24" "fBodyAcc-bandsEnergy()-25,48" "fBodyAccJerk-mean()-X" "fBodyAccJerk-mean()-Y" "fBodyAccJerk-mean()-Z" "fBodyAccJerk-std()-X" "fBodyAccJerk-maxInds-Y" "fBodyAccJerk-maxInds-Z" "fBodyAccJerk-meanFreq()-X" "fBodyAccJerk-bandsEnergy()-1,24" "fBodyAccJerk-bandsEnergy()-25,48" "fBodyGyro-mean()-X" "fBodyGyro-mean()-Y" "fBodyGyro-mean()-Z" "fBodyGyro-std()-X" "fBodyGyro-maxInds-Y" "fBodyGyro-maxInds-Z" "fBodyGyro-meanFreq()-X" "fBodyGyro-bandsEnergy()-1,24" "fBodyGyro-bandsEnergy()-25,48" "fBodyAccMag-entropy()" "fBodyAccMag-skewness()" "fBodyAccMag-kurtosis()" "fBodyBodyAccJerkMag-entropy()" "fBodyBodyAccJerkMag-skewness()" "fBodyBodyAccJerkMag-kurtosis()" "fBodyBodyGyroMag-entropy()" "fBodyBodyGyroMag-skewness()" "fBodyBodyGyroMag-kurtosis()" "fBodyBodyGyroJerkMag-entropy()" "fBodyBodyGyroJerkMag-skewness()" "fBodyBodyGyroJerkMag-kurtosis()" "angle(tBodyAccMean,gravity)" "angle(tBodyAccJerkMean),gravityMean)" "angle(tBodyGyroMean,gravityMean)" "angle(tBodyGyroJerkMean,gravityMean)" "angle(X,gravityMean)" "angle(Y,gravityMean)" "angle(Z,gravityMean)"
"1" 1 0.265696920582133 -0.0182981725176081 -0.10784573454611 -0.545795331328326 -0.140663320581729 0.196151041060519 0.744867411573487 -0.0825562579855908 0.072339870389049 -0.959859435936599 -0.167498098933141 0.146578594036311 0.0770930495126801 0.0165908438802305 -0.00910758730117003 -0.524721922818732 -0.108980031707493 0.208920598589625 -0.0208764064320173 -0.0880722729400576 0.0862641666597983 -0.686555715201729 -0.0435905702789625 -0.10499394311268 -0.0971120197265994 -0.0417164808293948 -0.0471393985477522 -0.637812687210375 -0.167193038574928 -0.140014582478069 0.0854444841365706 -0.0491918153835735 0.0854444841365706 -0.0491918153835735 -0.14103595711415 0.0359250982402594 0.14389614101585 -0.117131960956974 -0.067101072789366 -0.128115556073487 -0.531895161258213 -0.406435448904438 -0.596411165253602 -0.553060616663401 -0.781556195391931 -0.902904010596542 -0.180558714010749 -0.798699154524496 -0.946905131729107 -0.547348892435764 -0.507343617969859 -0.695305113832853 -0.543979776127867 -0.407953890489914 -0.300634005763689 -0.0488005965884726 -0.897580075936599 -0.950222492449568 -0.623219182311527 -0.505309434070029 -0.553529065425648 -0.708263420861671 -0.866319605711816 -0.814369472556196 -0.0320324102759078 -0.866944157896254 -0.956784694409222 -0.0422134608270893 -0.419852460748703 -0.688715625787608 -0.166896923014409 -0.319888971925965 -0.637882103117867 0.0782256321585014 -0.205848254997406 -0.506323319276945 -0.0880270361959654 -0.346915560054265 -0.656185264925072 0.0376077057057925 0.00901810943544669 -0.0134509534112392 -0.0016303535815562 -0.535773765244957 0.122790250801441 -0.0390790177233429
"2" 2 0.273113115788079 -0.0191323183174834 -0.115649958175497 -0.605586497159271 -0.169618852403311 0.194535818751225 0.660782866688742 -0.147219886910411 0.134865335090728 -0.963015508245033 -0.0741719943708609 0.0691912329423841 0.0785353156747351 0.00708771249764901 0.000755760748377483 -0.557809603123841 0.0393154392191391 0.155085641165397 -0.0517030657821192 -0.0568420186817881 0.0872599422291391 -0.710648927815894 0.17754154605894 -0.169148962615563 -0.0875587491668874 -0.0433986835453642 -0.0557541828188742 -0.671679103311258 0.111621551897682 -0.239284362336755 0.0904740107192053 -0.0570892316399371 0.0904740107192053 -0.0570892316399371 -0.15343313692553 0.0688931637195364 0.144381516838079 -0.0766789491913907 -0.0238868403611921 -0.00727562749645695 -0.57377091142947 -0.432566581302351 -0.630081222124834 -0.619788102803311 -0.824503310298013 -0.845899133288079 -0.106763418901788 -0.833793856092715 -0.961691047019868 -0.561682049622185 -0.50890379901457 -0.715745330403973 -0.595105612895033 -0.326622516556291 -0.283311258278146 0.0868000536209801 -0.89620059705298 -0.962758089536424 -0.638717694593046 -0.722068978635762 -0.601594889654305 -0.734588540182119 -0.856868190480132 -0.840374514533113 -0.00576500648245033 -0.877742982625828 -0.923628837119205 -0.12901608884106 -0.412168401405894 -0.685566062996689 -0.226727620033113 -0.279037812333808 -0.593132222930066 -0.0498716162582781 -0.304666564887748 -0.605982196850993 -0.228060676827815 -0.244190453542848 -0.578499764648344 0.00987176748993709 0.0140445759570199 0.0745850523983444 -0.0372927976207285 -0.434486657251656 0.17228684113245 -0.0788654586730132
"3" 3 0.273428719636364 -0.017856067384956 -0.106492632429097 -0.623413602046921 -0.2262186405 0.156544326025806 0.707814353343108 -0.0260590480328739 0.0480937904190616 -0.966457565630499 -0.0274413383469208 0.0152071986105572 0.0701731261988856 0.0144664329060411 -0.000526818872875366 -0.635484688041056 -0.0507636864252493 0.0852182319044868 -0.0248490682828446 -0.0743565308442815 0.0866875497119062 -0.699262195705865 -0.0292560328593842 -0.130032880846334 -0.0991554609633431 -0.0401923943695015 -0.0521178264170088 -0.689328428607038 0.0258443926935836 -0.107025768144897 0.0566239901573607 -0.0629949821747801 0.0566239901573607 -0.0629949821747801 -0.0665678534020821 0.00407820575718475 0.0680683162800586 -0.0535119465671848 -0.0880310760008798 -0.121169067362152 -0.625733289873607 -0.501779938505279 -0.699656828592375 -0.623805015199413 -0.791397849266862 -0.878637490516129 -0.192817340495308 -0.893062241601173 -0.979676490821114 -0.645893496630499 -0.582949919157742 -0.780101644193548 -0.657844055881525 -0.387800586510264 -0.341466275659824 -0.0476941200470968 -0.932697198592375 -0.980556463255132 -0.642097719778592 -0.775144985073314 -0.670734708996481 -0.719276622702346 -0.82272254183871 -0.80139548982698 -0.102568067670674 -0.929241456539589 -0.976900586774194 -0.112686234770088 -0.395128523371261 -0.672093167772434 -0.275714435985337 -0.252698688125806 -0.561776583640469 -0.0166016528397947 -0.263695423252786 -0.577542913560537 -0.239744940950147 -0.18267717695915 -0.500718418513196 0.0140943888357038 0.0134500193845455 0.0359008263363636 -0.0192074752090909 -0.503323420175953 0.075626283568915 -0.0174901508665689
"4" 4 0.274183111498423 -0.0148081545344921 -0.107521430810726 -0.605211727785489 -0.089432559637224 0.0536488726544164 0.706593043123028 0.112591195496986 0.164130896618297 -0.962636979274448 -0.419458923016404 0.128165440966877 0.0788637845151419 0.00351340949514196 -0.00737375142832808 -0.631853083289621 0.199960456554132 0.120329533513211 -0.0289417906907571 -0.0787229907785489 0.0957174866009464 -0.701397703369085 0.254636813755445 -0.0576250513376972 -0.107859315713249 -0.0400427574662461 -0.0578089304000631 -0.723788617823344 0.335539618896845 -0.0633908272408517 -0.012804581731388 -0.0458894548291167 -0.012804581731388 -0.0458894548291167 -0.100276549528391 -0.00490527515883281 0.0270283635843849 0.0579308807350473 -0.0731471729617981 -0.140723275164984 -0.628806379100946 -0.52583456615142 -0.755235428895899 -0.597551324155678 -0.764458464047319 -0.903664158107256 -0.184518571319811 -0.925145191072555 -0.982081375678233 -0.652023078038801 -0.601696223759495 -0.825154871135647 -0.644622004704416 -0.317350157728707 -0.27596214511041 -0.000543991796466877 -0.967530554290221 -0.983123317949527 -0.641881977553943 -0.831527531009464 -0.689308946422713 -0.721749187328076 -0.899664189936909 -0.8546720329653 -0.118518212447287 -0.938801864921136 -0.941390245047319 -0.130314344477918 -0.303683235587413 -0.58316700245836 -0.290579724602524 -0.252620516124858 -0.562303965280442 -0.0294913642258675 -0.187309635111546 -0.527797350798107 -0.281515054495268 -0.315185867592429 -0.624501923908517 0.008033303979653 -0.0111447541222713 0.0270807733943218 0.0117778301287066 -0.576544037003155 -0.0323627459022082 -0.0954624208030915
"5" 5 0.279177960301325 -0.0154833455336192 -0.105661736816887 -0.507691011391722 -0.139099290978245 0.183328842972351 0.698153719072848 0.112313109736755 0.0921607197449904 -0.964629108807947 -0.262667718788344 0.119310090465795 0.0841019899622517 0.0017656830384106 -0.0029537113427351 -0.575890535679801 -0.102733848671523 0.17715523763904 -0.0294516873643046 -0.0774316445596026 0.0866267116745033 -0.709955676983444 -0.0539620611665563 -0.109456425406623 -0.103522877147351 -0.0490624519374172 -0.0506258160122517 -0.662581310334437 0.0778619220718576 -0.0340190859350993 0.053124321057149 -0.0632658570116026 0.053124321057149 -0.0632658570116026 -0.114345226291523 -0.0313219733798013 0.133752004337119 -0.0977463073887417 -0.142497794135232 0.0532652248103642 -0.55123770513245 -0.440232431795033 -0.696171811490066 -0.492829885748675 -0.679028697155629 -0.911614873907285 -0.226370689942053 -0.891705566986755 -0.977865027350993 -0.604769869438742 -0.550991969857417 -0.768762357980132 -0.584013626983444 -0.374039735099338 -0.285298013245033 -0.10292084499106 -0.926707563509934 -0.979199594966887 -0.632239300829801 -0.71706218781457 -0.537329127293278 -0.73573857718543 -0.850459303612583 -0.629367435225166 -0.0381646986649007 -0.869530871655629 -0.938884676423841 -0.0847120673907285 -0.346153520669205 -0.622500047417219 -0.232147643476821 -0.262184771960927 -0.584574026338079 0.042676131981457 -0.335159516929801 -0.628709449615894 -0.137702307448344 -0.114361082909272 -0.453200005526523 -0.00911213827748344 -0.0152166119291391 -0.00953130166963576 -0.0233952550609272 -0.598120786887417 -0.0378727910794702 -0.0440818730005695
"6" 6 0.272376614181538 -0.0175697042641846 -0.11599454136 -0.505086085072062 -0.246513669849846 0.112372982983877 0.688702063569231 0.0162055455953846 0.0475199990906462 -0.958898709015385 0.0519986327701538 0.17538089676 0.0813833604034769 0.000479281129661539 -0.00225896302076923 -0.531468310262154 -0.176451719238185 0.126975393173292 -0.0433611785374462 -0.0706129097498462 0.0973130293888923 -0.653800660041538 -0.0484358623328615 -0.180886790116062 -0.0829159966093231 -0.0454921005615385 -0.0533610323667692 -0.546009968372308 -0.0458112449553846 -0.203990054925538 0.00910325812092308 -0.0309695179415385 0.00910325812092308 -0.0309695179415385 -0.0718511585516923 -0.0325159345524923 0.134516454338462 -0.110977092557034 -0.182640439392585 -0.0325382515803077 -0.506174926221538 -0.392041410138769 -0.683725945015385 -0.506680276530492 -0.669128204963077 -0.821065087701538 -0.191537066813538 -0.904838556769231 -0.949474152707692 -0.549394273848923 -0.503558973703692 -0.720867157741538 -0.555346159400332 -0.384615384615385 -0.293661538461538 -0.0956140259974462 -0.892657368892308 -0.947472011790769 -0.537201442069846 -0.621188724858462 -0.507604207506462 -0.692862440004 -0.632754342532308 -0.601909814526154 0.0289087194733538 -0.857983926123077 -0.903332518861538 -0.0584206177507692 -0.313451543906154 -0.597637325353846 -0.184718503458462 -0.264206300430769 -0.608244930483077 0.128592122446154 -0.451367867843077 -0.728848991710769 -0.0363693625815385 -0.219280069710769 -0.568412608083077 -0.0138330473166462 -0.00348166721446154 0.0923274191257231 -0.0623473875535385 -0.528657882923077 0.0197335438526154 -0.0125524016118246
"7" 7 0.270211697814935 -0.0187904887668182 -0.112492375388312 -0.577518324748052 -0.329067720718831 0.282343572058539 0.681289120844156 -0.0420221452496753 0.0342160711928604 -0.956538178587662 -0.00534610799058442 0.155881847342857 0.0831829573168831 0.00760909767418831 -0.00791725696048701 -0.615131377408279 -0.149512568734091 0.289222287221753 -0.0518716929407792 -0.0646077113078896 0.0977671721406169 -0.687155474097403 0.167617086041584 -0.219587057735649 -0.0942037376182662 -0.0414401406082792 -0.0610307928148701 -0.701731200484416 0.177897102237175 -0.305084110404221 0.0155946595167532 -0.0103608721888961 0.0155946595167532 -0.0103608721888961 -0.124840334139935 0.00120487007954546 0.0972408273607143 0.0139212446199675 -0.0731299231448052 0.0803812077321429 -0.593011288564935 -0.563547785174026 -0.531005941495552 -0.572347541484091 -0.824891773811688 -0.836663336136364 -0.311790512382468 -0.732737915051948 -0.944872327792208 -0.637521940243831 -0.641687333850227 -0.642515716574286 -0.626785744584416 -0.39025974025974 -0.397792207792208 -0.11978430017462 -0.813756034220779 -0.94657277512987 -0.643767578493507 -0.630419275006169 -0.655083354905844 -0.703883646896104 -0.687473816587662 -0.830721003344156 -0.134491772785779 -0.900843061850649 -0.968107074058442 -0.0853809496915584 -0.227779791430519 -0.527078652041883 -0.243109887529221 -0.199255572314968 -0.508126871173701 0.0411653825405195 -0.175918806325552 -0.493481546224026 -0.12522861375974 -0.252253318133117 -0.602509812782468 0.00269012793097403 -0.0101427330402597 0.0421957283409091 -0.0230124181622597 -0.525683267337662 0.108786539103896 -0.0334261884535714
"8" 8 0.270759063295374 -0.0181894974688612 -0.106809623683986 -0.582958863017438 -0.211720658913879 0.0724944851658363 0.647498175409253 0.0303211113118861 0.0836542406807936 -0.954256666035587 -0.171261920681851 0.00877554257366548 0.084215745375516 0.000860301581786477 -0.0196719912994306 -0.575993073911744 0.0618833622615658 0.127423209866459 0.00359053897160142 -0.091077509832669 0.0640867611561922 -0.656219242281851 -0.0828299739092527 -0.0633462940836299 -0.104969855200356 -0.0400922240331673 -0.0582887148366548 -0.674984452240214 -0.0386130727882562 -0.127257585286904 0.0972804665615658 -0.116670984978648 0.0972804665615658 -0.116670984978648 -0.0986690342661922 -0.103568311138292 0.0521095579017794 0.00539242527580071 -0.0700893910650534 -0.14778366546427 -0.581831414648399 -0.374944236206406 -0.550979388719929 -0.585343460535587 -0.76156583611032 -0.831097727049822 -0.216022261686477 -0.746922231514235 -0.916322651032028 -0.59163500910605 -0.495906215569395 -0.644285802406762 -0.598546245236655 -0.386049822064057 -0.309893238434164 0.0212336768810676 -0.814314846735587 -0.923104942348754 -0.601382421248399 -0.575938482711388 -0.525562919047438 -0.675275353078292 -0.83446217366548 -0.814701190569395 -0.117102793715658 -0.733793607206406 -0.952248850284698 -0.146506211841993 -0.384178438546975 -0.639560830626335 -0.269728370594306 -0.46724114513879 -0.758706025975089 -0.0335500868284698 -0.224005505061566 -0.523995597193594 -0.217291905007117 -0.441251328412811 -0.741223224302491 0.0241015302255872 -0.0447760524743772 -0.0456562960846975 -0.014249245677758 -0.464037618576512 0.0469561517516014 -0.0596437771975801
"9" 9 0.270313841621528 -0.0209466555412396 -0.101233826213889 -0.555656544538194 -0.265625276491319 0.0212079795342014 0.670845545555556 -0.0467446999509028 0.104353653032743 -0.958784666180556 0.00242441847986112 0.0873824099399306 0.0840171430291667 0.00678485848399306 -0.00102998088194444 -0.578305161360069 0.123153567218229 -0.114241692174028 -0.0701318154561458 -0.0729884312991667 0.109092913237986 -0.676452392569444 0.0523206986862153 0.0503765347979167 -0.0892254930640278 -0.0397344421815972 -0.053402884281875 -0.7617108665625 0.167044974764792 0.118754676428472 0.0505385238479167 -0.0572281955868056 0.0505385238479167 -0.0572281955868056 -0.00610777100559028 -0.129470527798958 0.10012859236875 -0.0817126595448611 -0.0160630806090764 -0.196946325668229 -0.579258404408681 -0.610267804090278 -0.592119122804271 -0.547995744907986 -0.7981481475 -0.756143161482639 -0.291349229752569 -0.778229156815972 -0.963659764305556 -0.621377141312847 -0.699766614569444 -0.702931927996528 -0.572819893733993 -0.486805555555556 -0.49625 -0.219176266215278 -0.876112006840278 -0.964194555694444 -0.639863219559028 -0.683924287600694 -0.612680463163889 -0.690689895534722 -0.738799282201389 -0.774425288090278 -0.205909254584222 -0.845559148576389 -0.982376583125 -0.0745780377409722 -0.364914343006944 -0.654877788232639 -0.266530339263889 -0.146344677105556 -0.448280031316667 0.0511523908649306 -0.266755634021597 -0.584530174336042 -0.177846682922569 -0.207821013440625 -0.518702605637465 0.00659605719583333 -0.01042791539375 0.0867843289590972 -0.0231028736559028 -0.558092529201389 0.116895184124306 -0.0898492623565208
"10" 10 0.27684847392517 -0.017835790552415 -0.111301532185714 -0.537807711163265 -0.102112119703912 -0.0105053140642857 0.642905730306122 -0.0740248544557823 0.0552047227876769 -0.965808126428571 -0.228465858607143 0.0424911581605442 0.0798108613061224 0.0129143257457823 -0.0113556967940476 -0.52938321427551 0.0192196985509184 -0.101968431707143 -0.0185023695936054 -0.0846403674590918 0.0910265011879252 -0.67390558227449 -0.0154393179717687 0.0229200153863946 -0.108150829882313 -0.0424219983671769 -0.0555521277515646 -0.703243499727891 -0.153198876299169 0.0500199121836735 0.149117766589796 -0.121168723757922 0.149117766589796 -0.121168723757922 -0.0481185018123129 -0.0195124193033255 0.107934853084048 -0.0650336248039456 -0.0349433156782313 -0.171350284064286 -0.532289464513605 -0.494651474235034 -0.655062273211565 -0.541170169070068 -0.761451246156463 -0.862899005057823 -0.156150832113776 -0.852982596768707 -0.940760114387755 -0.547243039827891 -0.555104553563503 -0.721689700769728 -0.553403478735408 -0.372108843537415 -0.214421768707483 -0.0313012983494898 -0.921006727721088 -0.941863349217687 -0.620379208870442 -0.64835059542517 -0.567456661721769 -0.692654261914966 -0.680930437272109 -0.814684494081633 -0.0663150945743537 -0.839751943129252 -0.95285351829932 -0.135325929269728 -0.418343802270748 -0.686748577343537 -0.241461758673469 -0.334668004747367 -0.655902044785714 -0.0172426559714286 -0.337144436592857 -0.63629544085034 -0.205252921438776 -0.345872702452286 -0.666458341690476 0.00283330082659524 -0.00362373274343537 -0.0192203603939014 0.052032163887415 -0.502995312482993 0.140515434785034 -0.00499449004468367
